x,y,alt,az,alt_err,az_err,sample_size,star_name,ra,dec,real_alt,real_az
508.0,563.0,44.330936457550315,65.97449838097465,0.0,0.0,1.0, 44Iot Ori,05h35m26.0s,-05d54m36s,44.209240934136965,66.04070572640926
522.0,529.0,48.908871928178975,58.72407946198759,0.0,0.0,1.0, 67Bet Eri,05h07m51.0s,-05d05m11s,48.93810218952459,58.69420832313204
935.0,628.0,40.36909807202753,189.9908520353074,0.0,0.0,1.0,   Bet Hyi,00h25m45.1s,-77d15m15s,40.4695340466916,189.95984148667944
559.0,792.0,20.883526849654306,106.74599583912493,0.0,0.0,1.0, 15Rho Pup,08h07m32.6s,-24d18m15s,20.887711996021554,106.71784323795472
732.0,171.0,30.55641304369188,314.7601464294737,0.0,0.0,1.0, 88Gam Peg,00h13m14.2s,+15d11m01s,30.609437996480114,314.7227234593627
582.0,597.0,53.51480261218749,84.09777325574446,0.0,0.0,1.0,  9Bet Lep,05h28m14.7s,-20d45m34s,53.39671185590593,84.08490663055974
440.0,313.0,25.786430268384947,14.910280963984489,0.0,0.0,1.0, 44Zet Per,03h54m07.9s,+31d53m01s,25.787267449541552,14.993968213160716
865.0,571.0,57.81387942775206,191.77808271228852,0.0,0.0,1.0,   Alp Hyi,01h58m46.2s,-61d34m11s,57.8358154341876,191.695181409175
997.0,529.0,36.85378209123617,215.15267935484863,0.0,0.0,1.0,   Alp Tuc,22h18m30.1s,-60d15m35s,36.93623676764279,215.234865110867
474.0,337.0,33.78449010058656,15.692451691167278,0.0,0.0,1.0, 25Eta Tau,03h47m29.1s,+24d06m18s,33.68066343520941,15.662378829880572
1016.0,261.0,20.127635864676638,262.71970505616684,0.0,0.0,1.0, 49Del Cap,21h47m02.4s,-16d07m38s,20.010615456622634,262.7151676498004
717.0,726.0,41.85164576775296,132.5854334613523,0.0,0.0,1.0,   Tau Pup,06h49m56.2s,-50d36m53s,41.90735419225497,132.62627389719935
609.0,481.0,66.9351042066478,46.150729127197344,0.0,0.0,1.0, 34Gam Eri,03h58m01.8s,-13d30m31s,66.97074811592498,46.029125600832145
390.0,468.0,24.5604527336075,43.07734581115782,0.0,0.0,1.0,123Zet Tau,05h37m38.7s,+21d08m33s,24.600655938951423,43.1240323852923
529.0,199.0,23.704884579532404,350.9123666430126,0.0,0.0,1.0,  4Bet Tri,02h09m32.6s,+34d59m14s,23.74658205406776,350.86499312055435
1027.0,393.0,29.70845127720817,241.67943698315284,0.0,0.0,1.0,   Gam Gru,21h53m55.7s,-37d21m54s,29.648719064272214,241.73253479104056
841.0,811.0,21.776695736398,153.9508041112171,0.0,0.0,1.0,   Ups Car,09h47m06.1s,-65d04m19s,21.885514398755678,153.94040590924612
607.0,675.0,45.194646204891576,103.44836492508169,0.0,0.0,1.0,  1Zet CMa,06h20m18.8s,-30d03m48s,45.20696006125911,103.44241021445224
561.0,713.0,34.13255121125029,99.59680200628516,0.0,0.0,1.0, 24Omi2CMa,07h03m01.5s,-23d50m00s,34.22072320335655,99.63644699366071
659.0,348.0,61.435800736920854,343.36220129034245,0.0,0.0,1.0, 68Omi Cet,02h19m20.7s,-02d58m39s,61.439235718715715,343.4806614267955
647.0,655.0,52.26929404200817,110.44569795449112,0.0,0.0,1.0,   Bet Col,05h50m57.6s,-35d46m06s,52.2684020468037,110.33796129379391
791.0,833.0,20.05974345747991,145.24993198046013,0.0,0.0,1.0,          ,09h31m13.3s,-57d02m04s,20.140585405301383,145.290015159099
676.0,710.0,43.89820172210826,122.45357845150366,0.0,0.0,1.0,   Nu  Pup,06h37m45.7s,-43d11m46s,43.8121902952712,122.43678337965291
485.0,468.0,42.92113940471264,42.41817202103042,0.0,0.0,1.0,  1Pi 3Ori,04h49m50.4s,+06d57m41s,42.88127585804131,42.33348880440592
602.0,577.0,58.961111560530966,83.05999690075619,0.0,0.0,1.0,  2Eps Lep,05h05m27.7s,-22d22m16s,58.9009854544003,83.02007645298912
873.0,654.0,45.72520897697365,174.70600023833137,0.0,0.0,1.0,   Gam Hyi,03h47m14.3s,-74d14m20s,45.73494421858769,174.63867537270107
758.0,519.0,80.0821683936226,171.84152424212053,0.0,0.0,1.0,   The1Eri,02h58m15.7s,-40d18m17s,80.13393949500694,171.7515296326742
674.0,759.0,34.51416146493051,124.22031467862972,0.0,0.0,1.0,   Sig Pup,07h29m13.8s,-43d18m05s,34.54542168451217,124.17186115083095
638.0,134.0,21.205684115554646,330.10931975136043,0.0,0.0,1.0, 31Del And,00h39m19.7s,+30d51m39s,21.111297251203794,330.1289666199054
